,2010,2030,2050
AL,3.9,3.9,3.9
AT,6.1,6.1,6.1
BE,6.2,6.2,6.2
BG,3.4,3.5,3.4
BH,3.9,3.9,3.9
CH,6.1,6.1,6.1
CY,4.3,4.3,4.5
CZ,3.7,3.6,3.7
DE,5.9,5.9,6
DK,7,7,7
EE,3.8,3.8,3.8
ES,4.6,4.6,4.7
FI,6.2,6.2,6.4
FR,6.3,6.3,6.3
GR,4.3,4.3,4.5
HR,4,4,4
HU,3.6,3.5,3.6
IE,6,6,6
IS,NaN,NaN,NaN
IT,5,5,4.9
LT,3.6,3.8,3.9
LU,6,6,6
LV,3.6,3.7,3.9
ME,3.9,3.9,3.9
MK,3.8,3.8,3.8
MT,3.5,3.4,3.4
NL,6.1,6.2,6.2
NO,6.5,6.5,6.6
PL,3.6,3.8,3.9
PT,3.9,4,4.1
RO,3.5,3.6,2.9
RS,4.3,4.3,4.3
SE,6.5,6.5,6.6
SI,4.2,4.2,4.1
SK,3.8,3.8,3.6
UK,6.4,6.5,6.6
